Id,Latitude,Longitude,Zone,Franchisee
4273,40.878724,-73.904096,B,Crown Castle NG East LLC
4274,40.886683,-73.910312,B,Crown Castle NG East LLC
4275,40.908162,-73.906582,B,Crown Castle NG East LLC
4276,40.895872,-73.896863,B,Crown Castle NG East LLC
4277,40.903446,-73.896221,B,Crown Castle NG East LLC
4278,40.876472,-73.906189,B,Crown Castle NG East LLC
4280,40.850209,-73.865823,B,Crown Castle NG East LLC
4281,40.858559,-73.866634,B,Crown Castle NG East LLC
4282,40.873864,-73.9088,C,Crown Castle NG East LLC
4283,40.875017,-73.912386,B,Crown Castle NG East LLC
4284,40.886326,-73.84566,B,Crown Castle NG East LLC
4285,40.869065,-73.900574,B,Crown Castle NG East LLC
4286,40.882586,-73.892815,B,Crown Castle NG East LLC
4287,40.58717,-74.15034,B,Crown Castle NG East LLC
4290,40.591073,-74.152315,B,Crown Castle NG East LLC
4291,40.859537,-73.864766,B,Crown Castle NG East LLC
4292,40.873052,-73.860421,B,Crown Castle NG East LLC
4293,40.617388,-74.178644,B,Crown Castle NG East LLC
4294,40.61414,-74.173946,B,Crown Castle NG East LLC
4295,40.610348,-74.183589,B,Crown Castle NG East LLC
4296,40.607994,-74.17921,B,Crown Castle NG East LLC
4297,40.563582,-74.129031,B,Crown Castle NG East LLC
4299,40.551637,-74.199804,B,Crown Castle NG East LLC
4300,40.584616,-74.151101,B,Crown Castle NG East LLC
4303,40.846361,-73.828559,B,Crown Castle NG East LLC
4304,40.587213,-74.164763,B,Crown Castle NG East LLC
4306,40.578923,-74.155516,B,Crown Castle NG East LLC
4307,40.578542,-74.162701,B,Crown Castle NG East LLC
4310,40.866672,-73.8684,B,Crown Castle NG East LLC
4312,40.553705,-74.194275,B,Crown Castle NG East LLC
4313,40.871299,-73.854481,B,Crown Castle NG East LLC
4316,40.513919,-74.203823,B,Crown Castle NG East LLC
4317,40.546351,-74.211737,B,Crown Castle NG East LLC
4318,40.869501,-73.850074,B,Crown Castle NG East LLC
4319,40.858065,-73.861935,B,Crown Castle NG East LLC
4320,40.865439,-73.870611,B,Crown Castle NG East LLC
4321,40.863314,-73.869263,B,Crown Castle NG East LLC
4322,40.870333,-73.901447,B,Crown Castle NG East LLC
4324,40.87205,-73.900013,B,Crown Castle NG East LLC
4325,40.872358,-73.896736,B,Crown Castle NG East LLC
4326,40.881115,-73.889371,B,Crown Castle NG East LLC
4327,40.803435,-73.913715,C,Crown Castle NG East LLC
4328,40.824856,-73.922272,C,Crown Castle NG East LLC
4329,40.813889,-73.928174,C,Crown Castle NG East LLC
4330,40.867439,-73.879816,B,Crown Castle NG East LLC
4331,40.812022,-73.926622,C,Crown Castle NG East LLC
4332,40.808567,-73.915486,C,Crown Castle NG East LLC
4335,40.869426,-73.881772,C,Crown Castle NG East LLC
4336,40.812189,-73.914072,C,Crown Castle NG East LLC
4337,40.868577,-73.892165,C,Crown Castle NG East LLC
4341,40.813623,-73.919717,C,Crown Castle NG East LLC
4342,40.813128,-73.923038,C,Crown Castle NG East LLC
4343,40.816399,-73.921733,C,Crown Castle NG East LLC
4344,40.881933,-73.8846,C,Crown Castle NG East LLC
4345,40.815727,-73.930592,C,Crown Castle NG East LLC
4346,40.818681,-73.928198,C,Crown Castle NG East LLC
4348,40.826939,-73.930555,C,Crown Castle NG East LLC
4349,40.825347,-73.926315,C,Crown Castle NG East LLC
4350,40.822575,-73.92694,C,Crown Castle NG East LLC
4351,40.820174,-73.927,C,Crown Castle NG East LLC
4353,40.857159,-73.895137,C,Crown Castle NG East LLC
4354,40.814816,-73.89762,C,Crown Castle NG East LLC
4355,40.859566,-73.889692,C,Crown Castle NG East LLC
4356,40.857358,-73.882057,C,Crown Castle NG East LLC
4357,40.852473,-73.883248,C,Crown Castle NG East LLC
4358,40.85181,-73.884587,C,Crown Castle NG East LLC
4359,40.830395,-73.91879,C,Crown Castle NG East LLC
4360,40.830151,-73.922458,C,Crown Castle NG East LLC
4361,40.831028,-73.917398,C,Crown Castle NG East LLC
